repetition,difference_in_means,running_mean
95,5.836125338171186,5.080226142215966
96,5.591596802516847,5.085552919927434
97,6.1410450144686735,5.096434281726828
98,4.168276950904115,5.086963288555167
99,7.3699485759912875,5.110023746004018
100,3.808340427633297,5.09700691282031
101,5.989065362752015,5.105839174700822
102,5.315657241778851,5.1078962145741365
103,4.747325071942669,5.104395523868976
104,4.7951578004233255,5.10142208422046
105,4.215782733714548,5.0929874237394515
106,4.410137768276726,5.086545445857728
107,5.690671146970473,5.092191480447567
108,4.808300409265016,5.089562859418098
109,4.021508888963794,5.079764199138701
110,5.732704157143573,5.085700016938746
111,5.04975477911367,5.085376185967348
112,5.662174859076501,5.090526174120108
113,5.041326635270551,5.090090779970998
114,4.566755795373368,5.085500122211369
115,3.772643695191519,5.074083979367718
116,5.594795997350246,5.078572876074464
117,2.778648484601547,5.058915402643072
118,5.323597935809815,5.061158474958044
119,4.8122294741721845,5.059066634615306
120,6.7378541409560455,5.0730565305014785
121,4.500402909837476,5.068323855950537
122,4.992790100733373,5.067704726809413
123,3.8432150465193473,5.057749526156648
124,5.362547148811899,5.060207571500642
125,5.345319787188231,5.0624884692261425
126,5.724855290616219,5.067745348760984
127,4.075974035274896,5.0599361258201485
128,4.9178417848964955,5.058826013781682
129,5.509995045764214,5.0623234481381365
130,5.578679305891711,5.066295416274702
131,4.192190115473011,5.059622856726597
132,5.537704874599882,5.063244690195335
133,2.85091980968717,5.0466106685373795
134,4.417875375052347,5.041918614108386
135,4.541622996157045,5.038212720642079
136,5.216625190207864,5.039524577035945
137,6.428885294330605,5.0496658961402865
138,5.25582367901265,5.051159793117622
139,5.985647520607515,5.057882726408916
140,5.410209069081233,5.06039934314229
141,5.054470342853293,5.06035729349485
142,4.054343858646249,5.053272691840988
143,5.5178619506795314,5.0565215677769215
144,4.601456982739805,5.053361397047497
145,4.91423423240856,5.052401899360331
146,4.98724721421415,5.051955634393577
147,4.6561640801352695,5.0492631748407995
148,5.098866909432672,5.049598335209663
149,4.542654351254313,5.046196026592513
150,5.962500078104853,5.052304720269262
151,5.281031607980921,5.053819467870002
152,5.585082168729741,5.057314617217763
153,6.413895711712307,5.066181160319035
154,5.462943230564051,5.068757537398548
155,3.225821258943526,5.056867625924644
156,6.1951918604723915,5.064164576146104
157,5.748125568963729,5.068521015590803
158,6.289360203559816,5.076247845894404
159,4.56204582707754,5.073013870933292
160,6.46353894567936,5.081704652650454
161,5.721144424024942,5.085676328249053
162,5.151107665291761,5.086080225391292
163,5.1432253399991055,5.086430808916494
164,3.84137541992979,5.078839007764136
165,3.817101621777624,5.071192114515733
166,5.460728364596122,5.073538718431879
167,4.997567629812977,5.073083801733563
168,4.505025092058304,5.069702499890258
169,5.057499880124084,5.069630295039571
170,5.342962311336905,5.071238130429555
171,5.317711086506563,5.072679492745794
172,4.34061326967533,5.068423293774455
173,4.240749136276506,5.063639050089495
174,6.111645235830807,5.06966207414548
175,5.814801558126561,5.073920014053943
176,6.087665929714319,5.079679934029286
177,5.457652580368588,5.08181537270917
178,3.300347694614757,5.0718071273266165
179,5.427427841509939,5.073793835227082
180,6.5443562491831315,5.081963626415727
181,6.002027343078083,5.087046851369663
182,4.074303778864788,5.081482328993262
183,5.498596994194955,5.083761644103654
184,6.896152439593642,5.093611594079142
